EOBFileid,PaymentPostingid,EOBFile,createdby,createdDate,changedby,changedDate,deletedby,isdeleted,CreatedUserType,ChangedUserType
248134,578237,190399_postpayment.pdf,609,2016-01-09 00:37:06.150,0,2016-01-09 00:37:06.150,0,0,Users,
257719,594654,594654_257719_postpayment.pdf,485,2016-01-30 02:28:31.730,0,2016-01-30 02:28:31.730,0,0,Users,
257717,594654,594654_257717_postpayment.pdf,485,2016-01-30 02:27:03.753,0,2016-01-30 02:27:03.753,0,0,Users,
244679,572422,187417_postpayment.pdf,170,2016-01-04 04:56:47.190,0,2016-01-04 04:56:47.190,0,0,Users,
303411,1178815,1178815_303411_postpayment.pdf,679,2018-04-20 05:43:57.493,0,2018-04-20 05:43:57.493,0,0,Users,
303105,1203127,1203127_303105_postpayment.pdf,679,2018-03-29 06:12:07.147,0,2018-03-29 06:12:07.147,0,0,Users,
242365,568765,185200_postpayment.pdf,570,2015-12-29 02:40:54.967,0,2015-12-29 02:40:54.967,0,0,Users,
244655,572394,187394_postpayment.pdf,170,2016-01-04 04:42:06.463,0,2016-01-04 04:42:06.463,0,0,Users,
246877,575760,575760_246877_postpayment.pdf,469,2016-01-06 07:02:21.030,0,2016-01-06 07:02:21.030,0,0,Users,
244376,572070,187172_postpayment.pdf,570,2016-01-04 01:47:17.700,0,2016-01-04 01:47:17.700,0,0,Users,
246873,575778,575778_246873_postpayment.pdf,469,2016-01-06 07:02:06.437,0,2016-01-06 07:02:06.437,0,0,Users,
230376,552068,173637_postpayment.pdf,565,2015-11-25 04:48:36.413,0,2015-11-25 04:48:36.413,0,0,Users,
246418,574911,189014_postpayment.pdf,609,2016-01-06 03:40:50.497,0,2016-01-06 03:40:50.497,0,0,Users,
233605,556325,176864_postpayment.pdf,170,2015-12-07 22:34:18.520,0,2015-12-07 22:34:18.520,0,0,Users,
249837,580549,191853_postpayment.pdf,608,2016-01-13 02:17:17.387,0,2016-01-13 02:17:17.387,0,0,Users,
256580,590071,197529_postpayment.pdf,471,2016-01-26 22:37:33.140,0,2016-01-26 22:37:33.140,0,0,Users,
246931,575871,575871_246931_postpayment.pdf,469,2016-01-06 07:09:30.240,0,2016-01-06 07:09:30.240,0,0,Users,
245402,573580,188109_postpayment.pdf,608,2016-01-05 05:25:46.013,0,2016-01-05 05:25:46.013,0,0,Users,
246176,574370,188782_postpayment.pdf,570,2016-01-06 00:38:38.647,0,2016-01-06 00:38:38.647,0,0,Users,
232859,555377,176118_postpayment.pdf,170,2015-12-04 03:00:55.763,0,2015-12-04 03:00:55.763,0,0,Users,
241998,567858,184859_postpayment.pdf,570,2015-12-28 04:12:52.697,0,2015-12-28 04:12:52.697,0,0,Users,
242140,568399,184983_postpayment.pdf,170,2015-12-28 23:31:54.107,0,2015-12-28 23:31:54.107,0,0,Users,
242141,568402,184984_postpayment.pdf,170,2015-12-28 23:33:09.073,0,2015-12-28 23:33:09.073,0,0,Users,
255157,587395,196311_postpayment.pdf,470,2016-01-23 03:32:14.497,0,2016-01-23 03:32:14.497,0,0,Users,
257480,594125,198234_postpayment.pdf,477,2016-01-30 00:12:27.497,0,2016-01-30 00:12:27.497,0,0,Users,
257484,594137,198238_postpayment.pdf,477,2016-01-30 00:15:19.530,0,2016-01-30 00:15:19.530,0,0,Users,
241645,566994,566994_241645_postpayment.pdf,170,2015-12-26 04:02:19.857,0,2015-12-26 04:02:19.857,0,0,Users,
240301,564741,183461_postpayment.pdf,170,2015-12-23 04:09:10.690,0,2015-12-23 04:09:10.690,0,0,Users,
254556,586607,195980_postpayment.pdf,170,2016-01-23 00:36:11.307,0,2016-01-23 00:36:11.307,0,0,Users,
258444,598058,199037_postpayment.pdf,609,2016-02-03 03:15:01.007,0,2016-02-03 03:15:01.007,0,0,Users,
238502,562658,181656_postpayment.pdf,570,2015-12-18 07:22:46.503,0,2015-12-18 07:22:46.503,0,0,Users,
238504,562660,181657_postpayment.pdf,570,2015-12-18 07:23:46.373,0,2015-12-18 07:23:46.373,0,0,Users,
242126,568302,184969_postpayment.pdf,170,2015-12-28 22:27:09.570,0,2015-12-28 22:27:09.570,0,0,Users,
246806,575506,575506_246806_postpayment.pdf,469,2016-01-06 06:56:00.037,0,2016-01-06 06:56:00.037,0,0,Users,
246899,575510,575510_246899_postpayment.pdf,469,2016-01-06 07:06:40.073,0,2016-01-06 07:06:40.073,0,0,Users,
253678,585419,195314_postpayment.pdf,609,2016-01-22 03:45:22.100,0,2016-01-22 03:45:22.100,0,0,Users,
243421,570680,186224_postpayment.pdf,170,2015-12-30 23:33:51.430,0,2015-12-30 23:33:51.430,0,0,Users,
254575,586639,195985_postpayment.pdf,170,2016-01-23 00:43:03.767,0,2016-01-23 00:43:03.767,0,0,Users,
245740,570416,570416_245740_postpayment.pdf,477,2016-01-05 07:15:45.560,0,2016-01-05 07:15:45.560,0,0,Users,
245734,570421,570421_245734_postpayment.pdf,477,2016-01-05 07:15:26.787,0,2016-01-05 07:15:26.787,0,0,Users,
